No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
245,AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.08,-0.29%,921
246,AGRO,Adecoagro S.A,Consumer Defensive,Farm Products,Luxembourg,2.15B,-,15.22,2.63%,"1,305,061"
247,AGRW,Allspring LT Large Growth ETF,Financial,Exchange Traded Fund,USA,-,-,27.44,0.35%,937
248,AGRZ,Agroz Inc,Consumer Defensive,Farm Products,Malaysia,10.66M,-,0.49,-4.74%,"478,355"
249,AGX,"Argan, Inc",Industrials,Engineering & Construction,USA,8.02B,59.08,575.16,0.66%,"295,089"
250,AGYS,"Agilysys, Inc",Technology,Software - Application,USA,2.00B,66.32,71.09,2.11%,"174,272"
251,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,109.46,0.07%,"12,308"
252,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,22.55,0.16%,"21,981"
253,AHCO,AdaptHealth Corp,Healthcare,Medical Devices,USA,1.64B,-,12.03,1.43%,"1,056,739"
254,AHG,Akso Health Group ADR,Healthcare,Medical Distribution,China,1.90B,-,2.22,-4.31%,"160,433"
255,AHLT,American Beacon AHL Trend ETF,Financial,Exchange Traded Fund,USA,-,-,28.58,1.01%,"3,827"
256,AHMA,Ambitions Enterprise Management Co LLC,Consumer Cyclical,Travel Services,United Arab Emirates,34.22M,107.41,1.16,-0.85%,"226,847"
257,AHR,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,9.14B,117.90,48.09,1.20%,"1,911,677"
258,AHRT,AH Realty Trust Inc,Real Estate,REIT - Diversified,USA,454.78M,-,5.67,5.00%,"1,855,178"
259,AHT,Ashford Hospitality Trust Inc,Real Estate,REIT - Hotel & Motel,USA,16.77M,-,2.59,-3.00%,"19,450"
260,AHYB,American Century Select High Yield ETF,Financial,Exchange Traded Fund,USA,-,-,46.21,0.08%,"19,347"
261,AI,C3.ai Inc,Technology,Software - Infrastructure,USA,1.26B,-,8.64,2.01%,"3,739,057"
262,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,105.62,-1.66%,"140,159"
263,AIB,BlockchAIn Digital Infrastructure Inc,Technology,Software - Infrastructure,USA,114.96M,-,1.16,16.00%,"561,009"
264,AIBD,Direxion Daily AI and Big Data Bear 2X ETF,Financial,Exchange Traded Fund,USA,-,-,9.52,-1.46%,"34,552"
265,AIBU,Direxion Daily AI and Big Data Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,37.73,1.76%,"2,959"
266,AIDX,20/20 Biolabs Inc,Healthcare,Medical Devices,USA,9.96M,-,1.83,-2.66%,"57,068"
267,AIEQ,Amplify AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,-,-,43.60,0.12%,"2,670"
268,AIFD,TCW Artificial Intelligence ETF,Financial,Exchange Traded Fund,USA,-,-,39.82,0.86%,"6,986"
269,AIFF,Firefly Neuroscience Inc,Technology,Software - Application,USA,31.36M,-,2.12,-5.36%,"974,442"
270,AIFU,AIFU Inc,Financial,Insurance Brokers,China,170.77M,-,1.47,6.67%,"2,015"
271,AIG,American International Group Inc,Financial,Insurance - Diversified,USA,40.47B,13.92,75.42,-0.19%,"2,294,433"
272,AIHS,Senmiao Technology Ltd,Industrials,Rental & Leasing Services,China,5.33M,-,1.17,2.63%,"45,023"
273,AII,American Integrity Insurance Group Inc,Financial,Insurance - Property & Casualty,USA,375.72M,0.06,19.19,1.43%,"65,356"
274,AIIA,AI Infrastructure Acquisition Corp,Financial,Shell Companies,USA,193.67M,-,10.04,0.00%,12
275,AIIO,Robo.ai Inc,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,25.92M,-,0.07,-22.65%,"5,558,029"
276,AIM,AIM ImmunoTech Inc,Healthcare,Biotechnology,USA,4.85M,-,0.60,8.18%,"194,431"
277,AIMD,Ainos Inc,Technology,Scientific & Technical Instruments,USA,10.46M,-,1.44,0.00%,"4,886"
278,AIMS,Acuitas Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,-,24.04,0.47%,"1,989"
279,AIN,Albany International Corp,Consumer Cyclical,Textile Manufacturing,USA,1.48B,-,52.26,-3.11%,"245,311"
280,AINP,Allspring Income Plus ETF,Financial,Exchange Traded Fund,USA,-,-,24.91,0.15%,539
281,AINT,FINQ DOLLAR NEUTRAL U.S. Large Cap AI-Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,24.84,0.20%,6
282,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA,750.58M,5.17,21.80,-0.23%,"53,271"
283,AIOO,AllianzIM U.S. Equity Buffer100 Protection ETF,Financial,Exchange Traded Fund,USA,-,-,25.70,0.08%,"24,896"
284,AIOS,AIOS Tech Inc,Technology,Information Technology Services,China,2.55M,-,0.55,-2.38%,"128,628"
285,AIOT,PowerFleet Inc,Technology,Software - Infrastructure,USA,413.17M,-,3.08,1.32%,"1,773,575"
286,AIP,Arteris Inc,Technology,Semiconductors,USA,827.50M,-,18.20,3.70%,"428,823"
287,AIPI,REX AI Equity Premium Income ETF,Financial,Exchange Traded Fund,USA,-,-,34.21,0.38%,"83,229"
288,AIPO,Defiance AI & Power Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,-,25.44,0.16%,"155,059"
289,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,47.27,-0.15%,"1,661,318"
290,AIR,AAR Corp,Industrials,Aerospace & Defense,USA,4.37B,24.17,109.78,-1.43%,"410,229"
291,AIRE,reAlpha Tech Corp,Real Estate,Real Estate Services,USA,32.99M,-,0.25,-1.77%,"1,024,802"
292,AIRG,Airgain Inc,Technology,Communication Equipment,USA,66.50M,-,5.44,3.42%,"68,189"
293,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,15.44M,-,3.23,-0.31%,"50,250"
294,AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,USA,183.44M,-,2.68,3.47%,"424,446"
