No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
412,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,11.55B,31.04,46.70,0.45%,"1,772,948"
413,AMLP,Alerian MLP ETF,Financial,Exchange Traded Fund,USA,-,-,52.37,0.54%,"1,450,296"
414,AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.65B,-,14.95,4.18%,"1,283,971"
415,AMN,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,USA,703.27M,-,18.20,-1.94%,"951,841"
416,AMOD,Alpha Modus Holdings Inc,Technology,Software - Application,USA,17.28M,-,0.34,-8.04%,"675,028"
417,AMOM,QRAFT AI Enhanced U.S. Large Cap Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,48.13,-0.09%,"15,273"
418,AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,39.57B,11.94,433.94,-0.63%,"619,888"
419,AMPG,Amplitech Group Inc,Technology,Communication Equipment,USA,48.89M,-,1.93,1.58%,"218,749"
420,AMPH,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,927.82M,10.06,20.45,1.04%,"390,454"
421,AMPL,Amplitude Inc,Technology,Software - Application,USA,914.69M,-,6.84,0.74%,"1,048,837"
422,AMPX,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts,USA,2.19B,-,16.00,3.09%,"5,905,937"
423,AMPY,Amplify Energy Corp,Energy,Oil & Gas E&P,USA,246.77M,5.92,5.98,1.87%,"1,002,537"
424,AMR,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,USA,2.68B,-,209.31,5.54%,"206,325"
425,AMRC,Ameresco Inc,Industrials,Engineering & Construction,USA,1.30B,29.81,24.59,-0.32%,"755,001"
426,AMRN,Amarin Corp ADR,Healthcare,Drug Manufacturers - General,Ireland,306.74M,-,14.74,0.68%,"13,168"
427,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,3.93B,56.37,12.48,-1.81%,"1,351,066"
428,AMRZ,Amrize Ltd,Basic Materials,Building Materials,USA,29.97B,25.31,54.23,-1.72%,"2,629,875"
429,AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,8.91M,-,1.35,0.00%,"13,319"
430,AMSC,American Superconductor Corp,Industrials,Specialty Industrial Machinery,USA,1.53B,10.95,32.09,-1.72%,"630,302"
431,AMSF,Amerisafe Inc,Financial,Insurance - Specialty,USA,619.67M,13.34,32.97,1.23%,"237,992"
432,AMST,Amesite Inc,Technology,Software - Application,USA,8.09M,-,1.77,0.00%,"4,749"
433,AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,80.97B,32.19,173.73,1.58%,"4,223,585"
434,AMTB,Amerant Bancorp Inc,Financial,Banks - Regional,USA,916.06M,18.18,22.77,0.84%,"173,551"
435,AMTD,AMTD IDEA Group ADR,Financial,Asset Management,France,39.65M,1.33,0.98,-0.99%,"10,632"
436,AMTM,Amentum Holdings Inc,Industrials,Specialty Business Services,USA,6.60B,67.16,27.04,2.66%,"1,392,621"
437,AMTX,Aemetis Inc,Basic Materials,Specialty Chemicals,USA,210.56M,-,3.16,6.04%,"2,099,850"
438,AMUB,UBS ETRACS Alerian MLP Index ETN,Financial,Exchange Traded Fund,USA,-,-,21.64,0.71%,442
439,AMUN,abrdn Ultra Short Municipal Income Active ETF,Financial,Exchange Traded Fund,USA,-,-,26.03,0.06%,186
440,AMUU,Direxion Daily AMD Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,48.51,6.71%,"101,633"
441,AMWD,American Woodmark Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,557.58M,32.93,38.27,-3.11%,"132,887"
442,AMWL,American Well Corporation,Healthcare,Health Information Services,USA,91.03M,-,5.50,3.97%,"22,193"
443,AMX,America Movil S.A.B.DE C.V. ADR,Communication Services,Telecom Services,Mexico,78.29B,17.85,25.58,0.20%,"863,575"
444,AMYY,GraniteShares YieldBOOST AMD ETF,Financial,Exchange Traded Fund,USA,-,-,15.52,-0.89%,"9,715"
445,AMZA,InfraCap MLP ETF 1.25x Shares,Financial,Exchange Traded Fund,USA,-,-,45.67,2.10%,"38,345"
446,AMZD,Direxion Daily AMZN Bear 1X ETF,Financial,Exchange Traded Fund,USA,-,-,10.94,0.55%,"12,913,750"
447,AMZE,Amaze Holdings Inc,Technology,Software - Application,USA,4.69M,-,0.13,-6.13%,"1,743,744"
448,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2251.86B,29.25,209.77,-0.38%,"31,255,136"
449,AMZO,Tradr 2X Short AMZN Daily ETF,Financial,Exchange Traded Fund,USA,-,-,24.82,0.87%,"3,085"
450,AMZP,Kurv Yield Premium Strategy Amazon (AMZN) ETF,Financial,Exchange Traded Fund,USA,-,-,23.42,-0.47%,"4,045"
451,AMZU,Direxion Daily AMZN Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,27.20,-0.87%,"2,008,184"
452,AMZW,Roundhill AMZN WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,34.13,0.12%,"19,251"
453,AMZY,YieldMax AMZN Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,11.00,-0.45%,"274,738"
454,AMZZ,GraniteShares 2x Long AMZN Daily ETF,Financial,Exchange Traded Fund,USA,-,-,24.88,-0.79%,"102,048"
455,AN,Autonation Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,6.86B,11.59,197.68,-0.15%,"312,217"
456,ANAB,AnaptysBio Inc,Healthcare,Biotechnology,USA,1.66B,-,57.68,1.67%,"611,617"
457,ANDE,Andersons Inc,Consumer Defensive,Food Distribution,USA,2.50B,26.25,73.41,0.99%,"252,618"
458,ANDG,Andersen Group Inc,Consumer Cyclical,Personal Services,USA,3.31B,5.92,29.67,1.61%,"197,762"
459,ANEL,Defiance Daily Target 2x Long ANET ETF,Financial,Exchange Traded Fund,USA,-,-,13.50,2.93%,"31,239"
460,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,159.18B,46.01,126.68,1.47%,"5,120,014"
461,ANEW,ProShares MSCI Transformational Changes ETF,Financial,Exchange Traded Fund,USA,-,-,45.67,0.01%,13
462,ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail,USA,4.14B,8.76,92.25,-2.13%,"816,319"
463,ANGH,Anghami Inc,Communication Services,Entertainment,United Arab Emirates,31.09M,-,3.43,2.69%,925
464,ANGI,Angi Inc,Communication Services,Internet Content & Information,USA,274.72M,7.34,6.85,-0.58%,"660,626"
465,ANGL,VanEck Fallen Angel High Yield Bond ETF,Financial,Exchange Traded Fund,USA,-,-,28.81,0.28%,"2,727,366"
466,ANGO,Angiodynamic Inc,Healthcare,Medical Instruments & Supplies,USA,424.95M,-,10.31,-13.65%,"1,224,028"
467,ANGX,Angel Studios Inc,Communication Services,Entertainment,USA,506.83M,-,2.99,-0.33%,"623,552"
468,ANIK,Anika Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,198.33M,-,14.80,-1.20%,"98,847"
469,ANIP,ANI Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.66B,22.14,74.21,-2.30%,"275,750"
470,ANIX,Anixa Biosciences Inc,Healthcare,Biotechnology,USA,85.50M,-,2.55,-6.25%,"69,390"
471,ANL,Adlai Nortye Ltd. ADR,Healthcare,Biotechnology,China,255.54M,-,8.18,3.54%,"453,411"
472,ANNA,AleAnna Inc,Energy,Oil & Gas E&P,USA,525.90M,178.51,7.89,8.68%,"7,347,336"
473,ANNX,Annexon Inc,Healthcare,Biotechnology,USA,882.61M,-,5.50,2.61%,"3,329,638"
474,ANPA,Rich Sparkle Holdings Ltd,Industrials,Specialty Business Services,Hong Kong,111.87M,6884.62,8.95,-4.48%,"11,446"
475,ANRO,Alto Neuroscience Inc,Healthcare,Biotechnology,USA,692.58M,-,21.68,-7.39%,"691,110"
476,ANSC,Agriculture & Natural Solutions Acquisition Corp,Financial,Shell Companies,USA,468.86M,46.29,11.29,0.00%,204
477,ANTA,Antalpha Platform Holding Co,Financial,Credit Services,Singapore,166.22M,9.41,7.02,8.00%,"3,203"
478,ANTX,AN2 Therapeutics Inc,Healthcare,Biotechnology,USA,117.53M,-,3.27,-5.22%,"412,054"
479,ANV,GraniteShares Autocallable NVDA ETF,Financial,Exchange Traded Fund,USA,-,-,24.57,-0.04%,692
480,ANVS,Annovis Bio Inc,Healthcare,Biotechnology,USA,64.65M,-,2.28,7.55%,"962,605"
481,ANY,Sphere 3D Corp,Financial,Capital Markets,USA,5.73M,-,1.52,0.66%,"33,405"
482,AOA,iShares Core 80/20 Aggressive Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,88.63,-0.45%,"137,618"
483,AOCT,Innovator Equity Defined Protection ETF - 2 Yr to October 2026,Financial,Exchange Traded Fund,USA,-,-,26.53,0.03%,503
484,AOD,abrdn Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,986.83M,5.96,9.36,-1.06%,"393,355"
485,AOHY,Angel Oak High Yield Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,10.98,0.00%,"58,613"
486,AOK,iShares Core 30/70 Conservative Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,39.90,-0.27%,"175,846"
487,AOM,iShares Core 40/60 Moderate Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,47.26,-0.59%,"224,501"
488,AOMR,Angel Oak Mortgage REIT Inc,Real Estate,REIT - Mortgage,USA,203.30M,4.52,8.16,0.12%,"51,881"
489,AON,Aon plc,Financial,Insurance Brokers,Ireland,69.23B,18.98,323.14,0.56%,"1,124,001"
490,AOR,iShares Core 60/40 Balanced Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,64.39,-0.54%,"297,039"
491,AORT,Artivion Inc,Healthcare,Medical Devices,USA,1.64B,171.11,34.17,0.03%,"448,179"
492,AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,8.90B,16.73,64.35,-1.12%,"1,132,415"
493,AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,USA,675.87M,-,22.71,-0.57%,"167,605"
494,AOTG,AOT Growth and Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,48.24,0.39%,"2,618"
495,AOTS,AOT Software Platform ETF,Financial,Exchange Traded Fund,USA,-,-,21.15,0.59%,103
496,AOUT,American Outdoor Brands Inc,Consumer Cyclical,Leisure,USA,113.74M,-,9.03,-1.20%,"54,152"
497,AP,Ampco-Pittsburgh Corp,Industrials,Metal Fabrication,USA,145.74M,-,7.17,-0.42%,"105,159"
498,APA,APA Corporation,Energy,Oil & Gas E&P,USA,14.85B,10.56,42.04,1.67%,"9,892,124"
499,APAC,StoneBridge Acquisition II Corp,Financial,Shell Companies,USA,80.83M,269.71,10.06,0.10%,3
500,APAD,A Paradise Acquisition Corp,Financial,Shell Companies,Hong Kong,277.30M,840.50,10.17,0.00%,"29,673"
501,APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,USA,2.95B,9.34,36.57,0.03%,"1,063,725"
502,APC,ARKO Petroleum Corp,Energy,Oil & Gas Refining & Marketing,USA,835.51M,-,18.12,-0.22%,"169,805"
503,APCB,ActivePassive Core Bond ETF,Financial,Exchange Traded Fund,USA,-,-,29.44,0.24%,"67,363"
504,APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,65.36B,-,293.55,1.42%,"1,352,253"
505,APEI,American Public Education Inc,Consumer Defensive,Education & Training Services,USA,1.06B,42.58,57.66,0.28%,"188,690"
506,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,18.30B,-,42.03,1.20%,"2,979,536"
507,APGE,Apogee Therapeutics Inc,Healthcare,Biotechnology,USA,5.86B,-,84.34,0.12%,"663,242"
508,APH,Amphenol Corp,Technology,Electronic Components,USA,157.34B,38.33,128.00,0.23%,"5,584,050"
509,APHU,T-REX 2X Long APH Daily Target ETF,Financial,Exchange Traded Fund,USA,-,-,17.75,-0.28%,"1,897"
510,API,Agora Inc ADR,Technology,Software - Application,China,272.56M,37.50,3.66,0.55%,"142,319"
511,APIE,ActivePassive International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,35.58,-0.34%,"66,324"
512,APLD,Applied Digital Corporation,Technology,Information Technology Services,USA,6.87B,-,24.56,0.29%,"19,646,424"
513,APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA,2.72B,15.63,11.53,-0.17%,"3,246,245"
514,APLM,Apollomics Inc,Healthcare,Biotechnology,USA,15.62M,-,14.12,-4.08%,556
515,APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,5.17B,327.21,40.41,0.05%,"10,333,522"
516,APLU,Allspring Core Plus ETF,Financial,Exchange Traded Fund,USA,-,-,24.74,0.23%,"21,348"
517,APLX,Tradr 2X Long APLD Daily ETF,Financial,Exchange Traded Fund,USA,-,-,11.66,0.52%,"2,463,499"
518,APLY,YieldMax AAPL Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,11.72,-0.42%,"90,463"
519,APLZ,Tradr 2X Short APLD Daily ETF,Financial,Exchange Traded Fund,USA,-,-,19.36,-0.62%,"472,517"
520,APM,Aptorum Group Ltd,Healthcare,Biotechnology,United Kingdom,7.54M,-,0.93,-2.93%,"13,025"
521,APMU,ActivePassive Intermediate Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.90,0.12%,"12,868"
522,APO,Apollo Global Management Inc,Financial,Asset Management,USA,61.90B,19.57,107.04,-2.91%,"5,417,158"
523,APOC,Innovator Equity Defined Protection ETF - 6mo Apr/Oct,Financial,Exchange Traded Fund,USA,-,-,25.82,-0.10%,"28,460"
524,APOG,Apogee Enterprises Inc,Industrials,Building Products & Equipment,USA,717.36M,18.03,33.35,-1.19%,"161,966"
525,APP,Applovin Corp,Communication Services,Advertising Agencies,USA,130.31B,40.89,386.37,-0.38%,"3,195,443"
526,APPF,Appfolio Inc,Technology,Software - Application,USA,5.65B,40.49,157.11,1.93%,"222,078"
527,APPN,Appian Corp,Technology,Software - Infrastructure,USA,1.81B,1548.73,24.47,1.75%,"395,393"
528,APPS,Digital Turbine Inc,Technology,Software - Application,USA,346.51M,-,2.89,-2.69%,"2,002,178"
529,APPX,Tradr 2X Long APP Daily ETF,Financial,Exchange Traded Fund,USA,-,-,25.68,-0.81%,"501,896"
530,APRB,Aptus April Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,25.39,-0.01%,"9,369"
531,APRE,Aprea Therapeutics Inc,Healthcare,Biotechnology,USA,8.19M,-,0.72,1.65%,"108,610"
532,APRH,Innovator Premium Income 20 Barrier ETF - April,Financial,Exchange Traded Fund,USA,-,-,24.65,0.31%,"19,017"
533,APRJ,Innovator Premium Income 30 Barrier ETF - April,Financial,Exchange Traded Fund,USA,-,-,24.59,0.39%,"7,062"
534,APRP,PGIM S&P 500 Buffer 12 ETF - April,Financial,Exchange Traded Fund,USA,-,-,30.49,0.09%,"20,334"
535,APRT,AllianzIM U.S. Equity Buffer10 Apr ETF,Financial,Exchange Traded Fund,USA,-,-,42.71,0.06%,"13,296"
536,APRW,AllianzIM U.S. Equity Buffer20 Apr ETF,Financial,Exchange Traded Fund,USA,-,-,35.53,0.10%,"127,128"
537,APRZ,TrueShares Structured Outcome (April) ETF,Financial,Exchange Traded Fund,USA,-,-,35.92,0.09%,303
538,APT,Alpha Pro Tech Ltd,Industrials,Building Products & Equipment,Canada,45.22M,13.22,4.44,-6.72%,"31,068"
539,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,13.00B,80.28,60.99,-1.77%,"4,046,773"
540,APTV-WI,Aptiv PLC. - When Issued - Mar 2026,Consumer Cyclical,Auto Parts,Switzerland,13.00B,-,58.50,0.00%,0
541,APUE,ActivePassive U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,40.37,0.02%,"160,179"
542,APUS,Apimeds Pharmaceuticals US Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,23.64M,-,1.88,7.43%,"31,594"
543,APVO,Aptevo Therapeutics Inc,Healthcare,Biotechnology,USA,4.93M,-,4.17,0.00%,"21,227"
544,APWC,Asia Pacific Wire & Cable Corp Ltd,Industrials,Electrical Equipment & Parts,Taiwan,27.42M,9.98,1.33,-3.64%,841
545,APXM,FT Vest U.S. Equity Max Buffer ETF - April,Financial,Exchange Traded Fund,USA,-,-,31.33,-0.02%,77
546,APXT,Apex Treasury Corp,Financial,Shell Companies,USA,458.22M,-,9.97,-0.20%,607
547,APYX,Apyx Medical Corp,Healthcare,Medical Devices,USA,153.93M,-,3.68,1.38%,"44,038"
548,AQB,AquaBounty Technologies Inc,Consumer Defensive,Farm Products,USA,4.51M,-,0.88,-1.07%,"10,331"
549,AQEC,AQE Core ETF,Financial,Exchange Traded Fund,USA,-,-,23.74,0.40%,"14,095"
550,AQLT,iShares MSCI Global Quality Factor ETF,Financial,Exchange Traded Fund,USA,-,-,27.88,-0.24%,"9,984"
551,AQMS,Aqua Metals Inc,Industrials,Waste Management,USA,12.97M,-,3.87,-3.97%,"36,325"
552,AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Diversified,Canada,4.93B,28.11,6.23,0.00%,"3,593,589"
553,AQST,Aquestive Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,504.05M,-,4.13,0.00%,"914,125"
554,AQWA,Global X Clean Water ETF,Financial,Exchange Traded Fund,USA,-,-,19.12,-0.47%,"8,187"
555,AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,12.48B,19.94,40.45,-1.00%,"6,503,493"
556,ARAI,Arrive AI Inc,Technology,Software - Infrastructure,USA,26.27M,-,0.72,-16.25%,"672,947"
557,ARAY,Accuray Inc,Healthcare,Medical Devices,USA,49.33M,-,0.42,6.82%,"1,331,212"
558,ARB,AltShares Merger Arbitrage ETF,Financial,Exchange Traded Fund,USA,-,-,29.33,-0.01%,"9,709"
559,ARBB,ARB IOT Group Ltd,Technology,Information Technology Services,Singapore,7.56M,-,4.28,6.73%,692
560,ARBE,Arbe Robotics Ltd,Technology,Scientific & Technical Instruments,Israel,78.50M,-,0.64,0.00%,"544,952"
561,ARBK,Argo Blockchain Plc ADR,Financial,Capital Markets,United Kingdom,0.92M,-,2.78,0.00%,"23,901"
562,ARCB,ArcBest Corp,Industrials,Trucking,USA,2.24B,38.41,100.51,0.85%,"226,374"
563,ARCC,Ares Capital Corp,Financial,Asset Management,USA,12.99B,9.75,18.09,2.03%,"6,662,869"
564,ARCI,Archimedes Tech SPAC Partners III Co,Financial,Shell Companies,USA,339.47M,-,9.90,0.41%,"2,327"
565,ARCLU,ARC Group Acquisition I Corp,Financial,Shell Companies,USA,-,-,-,-,0
566,ARCM,Arrow Reserve Capital Management ETF,Financial,Exchange Traded Fund,USA,-,-,100.10,0.02%,77
567,ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA,1.76B,7.17,8.35,0.00%,"379,934"
568,ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,228.24M,-,8.03,2.29%,"504,687"
569,ARCX,Tradr 2X Long ACHR Daily ETF,Financial,Exchange Traded Fund,USA,-,-,15.97,7.18%,"26,518"
570,ARDC,Ares Dynamic Credit Allocation Fund Inc,Financial,Closed-End Fund - Debt,USA,287.11M,12.48,11.98,-1.32%,"152,393"
571,ARDT,Ardent Health Inc,Healthcare,Medical Care Facilities,USA,1.24B,9.02,8.66,-0.12%,"300,493"
572,ARDX,Ardelyx Inc,Healthcare,Biotechnology,USA,1.46B,-,5.94,-2.78%,"2,398,344"
573,ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,7.49B,-,43.23,-0.14%,"4,102,098"
574,AREB,American Rebel Holdings Inc,Consumer Cyclical,Footwear & Accessories,USA,1.60M,-,6.46,0.00%,0
575,AREC,American Resources Corporation,Basic Materials,Coking Coal,USA,248.41M,-,2.45,4.70%,"3,878,982"
576,AREN,Arena Group Holdings Inc,Communication Services,Internet Content & Information,USA,92.83M,0.74,1.95,-4.41%,"71,393"
577,ARES,Ares Management Corp,Financial,Asset Management,USA,33.75B,58.58,102.43,-3.19%,"5,073,222"
578,ARGT,Global X MSCI Argentina ETF,Financial,Exchange Traded Fund,USA,-,-,93.89,0.73%,"370,713"
579,ARGX,Argen X SE ADR,Healthcare,Biotechnology,Netherlands,46.19B,38.11,746.42,0.44%,"372,184"
580,ARHS,Arhaus Inc,Consumer Cyclical,Specialty Retail,USA,900.36M,13.41,6.38,-2.45%,"1,255,351"
581,ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,USA,1.48B,13.23,10.63,0.95%,"1,328,272"
582,ARIS,Aris Mining Corp,Basic Materials,Gold,Canada,3.98B,51.15,19.31,-1.53%,"1,444,202"
583,ARKB,ARK 21Shares Bitcoin ETF,Financial,Exchange Traded Fund,USA,-,-,22.24,-1.68%,"4,262,905"
584,ARKD,ARK DIET Q1 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,18.78,0.11%,86
585,ARKF,ARK Blockchain & Fintech Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,38.07,0.34%,"125,625"
586,ARKG,ARK Genomic Revolution ETF,Financial,Exchange Traded Fund,USA,-,-,27.36,1.00%,"2,144,518"
587,ARKI,ARK DIET Q2 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,20.25,0.10%,"1,878"
588,ARKK,ARK Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,68.56,0.23%,"11,724,588"
589,ARKO,ARKO Corp,Consumer Cyclical,Specialty Retail,USA,626.54M,38.18,5.65,-1.22%,"501,555"
590,ARKQ,ARK Autonomous Technology & Robotics ETF,Financial,Exchange Traded Fund,USA,-,-,114.90,0.34%,"178,601"
591,ARKR,Ark Restaurants Corp,Consumer Cyclical,Restaurants,USA,23.80M,-,6.60,-3.23%,"1,777"
592,ARKT,ARK DIET Q4 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,17.78,-0.08%,890
593,ARKW,ARK Next Generation Internet ETF,Financial,Exchange Traded Fund,USA,-,-,121.60,0.26%,"124,122"
594,ARKX,ARK Space & Defense Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,30.32,1.37%,"710,247"
595,ARL,American Realty Investors Inc,Real Estate,Real Estate Services,USA,237.76M,15.14,14.72,-3.22%,628
596,ARLI,AllianzIM International Equity Buffer15 Uncapped Apr ETF,Financial,Exchange Traded Fund,USA,-,-,25.02,-0.44%,"5,916"
597,ARLO,Arlo Technologies Inc,Industrials,Building Products & Equipment,USA,1.50B,103.39,14.03,-0.57%,"584,368"
598,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3.62B,11.74,28.17,2.18%,"194,670"
599,ARLU,AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF,Financial,Exchange Traded Fund,USA,-,-,28.86,0.11%,"17,534"
600,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,158.35B,198.68,149.11,-3.84%,"8,141,912"
601,ARMG,Leverage Shares 2X Long ARM Daily ETF,Financial,Exchange Traded Fund,USA,-,-,9.40,-7.84%,"685,529"
602,ARMH,Arm Holdings PLC ADRhedged,Financial,Exchange Traded Fund,USA,-,-,63.86,-3.05%,"1,088"
603,ARMK,Aramark,Industrials,Specialty Business Services,USA,11.18B,35.78,42.55,1.60%,"2,616,592"
604,ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,USA,372.92M,-,10.18,-3.60%,"22,946"
605,ARMW,Roundhill ARM WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,33.63,-4.54%,"31,965"
606,ARMY,Tema International Defense Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,26.48,0.14%,57
607,AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,USA,6.06B,18.96,34.66,1.55%,"1,284,669"
608,AROW,Arrow Financial Corp,Financial,Banks - Regional,USA,563.54M,12.81,34.13,0.38%,"73,425"
609,ARP,PMV Adaptive Risk Parity ETF,Financial,Exchange Traded Fund,USA,-,-,31.74,-0.04%,"2,626"
610,ARQ,Arq Inc,Industrials,Pollution & Treatment Controls,USA,105.84M,-,2.47,4.66%,"1,017,081"
611,ARQQ,Arqit Quantum Inc,Technology,Software - Infrastructure,United Kingdom,218.66M,-,13.97,2.80%,"188,351"
612,ARQT,Arcutis Biotherapeutics Inc,Healthcare,Biotechnology,USA,2.93B,-,23.63,-1.95%,"1,091,843"
613,ARR,ARMOUR Residential REIT Inc,Real Estate,REIT - Mortgage,USA,2.05B,6.26,17.14,1.54%,"2,091,031"
614,ARRY,Array Technologies Inc,Technology,Solar,USA,1.12B,-,7.34,-2.78%,"3,715,010"
615,ARTC,Art Technology Acquisition Corp,Financial,Shell Companies,USA,341.68M,-,9.81,-0.20%,3
616,ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,4.99M,-,7.04,-10.20%,"429,996"
617,ARTNA,Artesian Resources Corp,Utilities,Utilities - Regulated Water,USA,334.85M,14.55,32.19,-0.37%,"18,137"
618,ARTV,Artiva Biotherapeutics Inc,Healthcare,Biotechnology,USA,166.59M,-,6.74,-0.15%,"145,416"
619,ARTW,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,USA,10.73M,10.18,2.07,-1.43%,"6,973"
620,ARTY,iShares Future AI & Tech ETF,Financial,Exchange Traded Fund,USA,-,-,47.73,0.29%,"397,085"
621,ARVN,Arvinas Inc,Healthcare,Biotechnology,USA,693.98M,-,10.85,-4.24%,"1,289,406"
622,ARVR,First Trust IndxxMetaverse ETF,Financial,Exchange Traded Fund,USA,-,-,44.91,-0.06%,9
623,ARW,Arrow Electronics Inc,Technology,Electronics & Computer Distribution,USA,7.45B,13.33,145.85,-0.53%,"369,651"
624,ARWG,Archer Growth ETF,Financial,Exchange Traded Fund,USA,-,-,23.50,1.54%,200
625,ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology,USA,8.55B,39.68,61.03,-3.00%,"1,451,471"
626,ARX,Accelerant Holdings,Financial,Insurance Brokers,Cayman Islands,3.00B,-,13.41,3.95%,"830,589"
627,AS,Amer Sports Inc,Consumer Cyclical,Leisure,Finland,19.31B,43.88,33.40,-1.36%,"2,811,152"
628,ASA,ASA Gold and Precious Metals Ltd,Financial,Closed-End Fund - Equity,USA,1.19B,1.80,63.19,-2.69%,"62,812"
629,ASAN,Asana Inc,Technology,Software - Application,USA,1.52B,-,6.37,0.63%,"3,571,616"
630,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,4.31B,9.39,25.98,-0.73%,"2,448,622"
631,ASBP,Aspire Biopharma Holdings Inc,Healthcare,Biotechnology,USA,5.12M,-,1.02,0.99%,"164,631"
632,ASC,Ardmore Shipping Corp,Industrials,Marine Shipping,Bermuda,642.64M,17.79,15.75,3.48%,"411,483"
633,ASCE,Allspring SMID Core ETF,Financial,Exchange Traded Fund,USA,-,-,28.43,0.74%,"7,938"
634,ASCI,abrdn International Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,-,33.26,-1.60%,122
635,ASEA,Global X FTSE Southeast Asia ETF,Financial,Exchange Traded Fund,USA,-,-,19.43,-0.77%,"39,274"
636,ASG,Liberty All-Star Growth Fund Inc,Financial,Closed-End Fund - Equity,USA,304.26M,22.00,4.84,0.41%,"168,823"
637,ASGI,abrdn Global Infrastructure Income Fund,Financial,Closed-End Fund - Equity,USA,661.43M,8.22,22.85,0.79%,"117,261"
