No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
194,AEXA,American Exceptionalism Acquisition Corp. A,Financial,Shell Companies,USA,540.61M,-,10.93,-1.53%,62452,-1.53,19.07,540610000.0,0.00011552135529213045,0
195,AEYE,AudioEye Inc,Technology,Software - Application,USA,82.85M,-,6.63,-4.60%,286743,-4.6,19.07,82850000.0,0.0034609896987207035,0
196,AFB,AllianceBernstein National Municipal Income Fund Inc,Financial,Closed-End Fund - Debt,USA,301.25M,87.33,10.48,-1.23%,165033,-1.23,87.33,301250000.0,0.000547827384073602,0
197,AFBI,Affinity Bancshares Inc,Financial,Banks - Regional,USA,135.73M,17.20,22.27,-0.22%,20676,-0.22,17.2,135730000.0,0.00015233183413886515,0
198,AFCG,Advanced Flower Capital Inc,Real Estate,REIT - Mortgage,USA,66.12M,-,2.81,1.44%,116287,1.44,19.07,66120000.00000001,0.0017587265311747346,0
199,AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA,10.80B,12.86,129.71,1.51%,387432,1.51,12.86,10800000000.0,3.5873333330011725e-05,0
200,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,9.34,-0.11%,68667,-0.11,19.07,,,0
201,AFIX,Allspring Broad Market Core Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.95,0.20%,407,0.2,19.07,,,0
202,AFJK,Aimei Health Technology Co Ltd,Financial,Shell Companies,USA,154.57M,126.80,25.55,0.51%,720,0.51,126.8,154570000.0,4.658083685979921e-06,0
203,AFK,VanEck Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,25.93,-1.78%,33087,-1.78,19.07,,,0
204,AFL,Aflac Inc,Financial,Insurance - Life,USA,57.05B,16.05,110.48,0.77%,1438294,0.77,16.05,57050000000.0,2.5211113058278508e-05,0
205,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,38.93,0.08%,110222,0.08,19.07,,,0
206,AFMC,First Trust Active Factor Mid Cap ETF,Financial,Exchange Traded Fund,USA,-,-,36.0,0.16%,23335,0.16,19.07,,,0
207,AFOS,ARS Focused Opportunity Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,36.98,-0.19%,1317,-0.19,19.07,,,0
208,AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,263.10M,-,9.78,1.14%,4284,1.14,19.07,263100000.00000003,1.628278215019847e-05,0
209,AFRM,Affirm Holdings Inc,Financial,Credit Services,USA,15.43B,56.97,46.31,1.69%,3583456,1.69,56.97,15430000000.0,0.00023223953336148803,0
210,AFRU,T-REX 2X Long AFRM Daily Target ETF,Financial,Exchange Traded Fund,USA,-,-,4.82,2.34%,62428,2.34,19.07,,,0
211,AFSC,abrdn Focused U.S. Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,-,31.14,0.03%,210,0.03,19.07,,,0
212,AFSM,First Trust Active Factor Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,33.35,0.54%,18096,0.54,19.07,,,0
213,AFYA,Afya Ltd,Consumer Defensive,Education & Training Services,Brazil,1.28B,10.39,14.96,-0.07%,116369,-0.07,10.39,1280000000.0,9.0913281178974e-05,0
214,AG,First Majestic Silver Corporation,Basic Materials,Silver,Canada,10.77B,64.90,21.84,-1.49%,14145611,-1.49,64.9,10770000000.0,0.0013134272050776762,0
215,AGAE,Allied Gaming & Entertainment Inc,Communication Services,Entertainment,USA,10.88M,-,0.29,4.49%,122870,4.49,19.07,10880000.0,0.011293197491434055,0
216,AGBK,AGI Inc,Financial,Banks - Regional,Brazil,1.15B,-,7.18,0.14%,197920,0.14,19.07,1150000000.0,0.000172104347676431,0
217,AGCC,Agencia Comercial Spirits Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,Taiwan,532.49M,710.55,15.49,-1.65%,250770,-1.65,710.55,532490000.0,0.00047093842049439723,0
218,AGCO,AGCO Corp,Industrials,Farm & Heavy Construction Machinery,USA,8.30B,11.76,114.59,-2.68%,814660,-2.68,11.76,8300000000.000001,9.815180721709013e-05,0
219,AGD,abrdn Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,272.16M,6.08,10.94,-0.55%,116288,-0.55,6.08,272160000.0,0.00042727807015256443,0
220,AGEM,abrdn Emerging Markets Dividend Active ETF,Financial,Exchange Traded Fund,USA,-,-,40.49,-0.99%,12273,-0.99,19.07,,,0
221,AGEN,Agenus Inc,Healthcare,Biotechnology,USA,127.87M,-,3.33,-2.06%,480750,-2.06,19.07,127870000.0,0.0037596777683610093,0
222,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,99.23,0.23%,12005994,0.23,19.07,,,0
223,AGGA,EA Astoria Dynamic Core US Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,25.17,0.16%,33954,0.16,19.07,,,0
224,AGGH,Simplify Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,20.4,0.29%,105745,0.29,19.07,,,0
225,AGGS,Harbor Disciplined Bond ETF,Financial,Exchange Traded Fund,USA,-,-,40.83,0.21%,24,0.21,19.07,,,0
226,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,43.64,0.38%,50242,0.38,19.07,,,0
227,AGH,Aureus Greenway Holdings Inc,Consumer Cyclical,Leisure,USA,79.40M,-,3.92,-1.51%,614532,-1.51,19.07,79400000.0,0.007739697635520181,0
228,AGI,Alamos Gold Inc,Basic Materials,Gold,Canada,19.32B,21.95,46.01,0.85%,3232009,0.85,21.95,19320000000.0,0.00016728825050893952,0
229,AGIG,Abundia Global Impact Group Inc,Utilities,Utilities - Renewable,USA,53.34M,-,1.22,-9.63%,579152,-9.63,19.07,53340000.0,0.010857742578595002,0
230,AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.06B,-,35.2,2.95%,1425264,2.95,19.07,2060000000.0,0.0006918757278194778,0
231,AGIQ,SoFi Agentic AI ETF,Financial,Exchange Traded Fund,USA,-,-,20.33,-0.30%,7055,-0.3,19.07,,,0
232,AGIX,KraneShares Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,33.5,1.18%,332784,1.18,19.07,,,0
233,AGL,Agilon Health Inc,Healthcare,Medical Care Facilities,USA,178.35M,-,10.74,10.15%,415549,10.15,19.07,178350000.0,0.0023299635417439665,0
234,AGM,Federal Agricultural Mortgage Corp,Financial,Credit Services,USA,1.60B,9.03,150.3,1.12%,70787,1.12,9.03,1600000000.0,4.4241874972348825e-05,0
235,AGMB,AgomAb Therapeutics NV ADR,Healthcare,Biotechnology,Belgium,522.49M,-,10.72,-9.00%,178472,-9.0,19.07,522490000.0,0.00034157974249922536,0
236,AGMH,AGM Group Holdings Inc,Technology,Computer Hardware,Hong Kong,1.74M,0.02,0.87,-6.66%,19340,-6.66,0.02,1740000.0,0.011114936140841298,0
237,AGMI,Themes Silver Miners ETF,Financial,Exchange Traded Fund,USA,-,-,69.82,-0.84%,1414,-0.84,19.07,,,0
238,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,11.40B,7.28,10.15,1.30%,12471371,1.3,7.28,11400000000.0,0.0010939799121847387,0
239,AGNG,Global X Aging Population ETF,Financial,Exchange Traded Fund,USA,-,-,35.96,-0.36%,5704,-0.36,19.07,,,0
240,AGO,Assured Guaranty Ltd,Financial,Insurance - Specialty,Bermuda,3.65B,7.94,81.1,0.57%,247982,0.57,7.94,3650000000.0,6.794027395398896e-05,0
241,AGOX,Adaptive Alpha Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,27.29,1.26%,67878,1.26,19.07,,,0
242,AGPU,Axe Compute Inc,Technology,Software - Infrastructure,USA,22.54M,-,4.07,14.33%,8186630,14.33,19.07,22540000.0,0.3632045091746003,0
243,AGQ,ProShares Ultra Silver 2x Shares,Financial,Exchange Traded Fund,USA,-,-,110.77,-6.85%,5232544,-6.85,19.07,,,0
244,AGQI,First Trust Active Global Quality Income ETF,Financial,Exchange Traded Fund,USA,-,-,17.02,-0.54%,5274,-0.54,19.07,,,0
245,AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.08,-0.29%,921,-0.29,19.07,,,0
246,AGRO,Adecoagro S.A,Consumer Defensive,Farm Products,Luxembourg,2.15B,-,15.22,2.63%,1305061,2.63,19.07,2150000000.0,0.0006070051159967418,0
247,AGRW,Allspring LT Large Growth ETF,Financial,Exchange Traded Fund,USA,-,-,27.44,0.35%,937,0.35,19.07,,,0
248,AGRZ,Agroz Inc,Consumer Defensive,Farm Products,Malaysia,10.66M,-,0.49,-4.74%,478355,-4.74,19.07,10660000.0,0.04487382318256818,0
249,AGX,"Argan, Inc",Industrials,Engineering & Construction,USA,8.02B,59.08,575.16,0.66%,295089,0.66,59.08,8020000000.0,3.679413964628502e-05,0
250,AGYS,"Agilysys, Inc",Technology,Software - Application,USA,2.00B,66.32,71.09,2.11%,174272,2.11,66.32,2000000000.0,8.7135999956432e-05,0
251,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,109.46,0.07%,12308,0.07,19.07,,,0
252,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,22.55,0.16%,21981,0.16,19.07,,,0
253,AHCO,AdaptHealth Corp,Healthcare,Medical Devices,USA,1.64B,-,12.03,1.43%,1056739,1.43,19.07,1640000000.0,0.0006443530483875896,0
254,AHG,Akso Health Group ADR,Healthcare,Medical Distribution,China,1.90B,-,2.22,-4.31%,160433,-4.31,19.07,1900000000.0,8.44384210081903e-05,0
255,AHLT,American Beacon AHL Trend ETF,Financial,Exchange Traded Fund,USA,-,-,28.58,1.01%,3827,1.01,19.07,,,0
256,AHMA,Ambitions Enterprise Management Co LLC,Consumer Cyclical,Travel Services,United Arab Emirates,34.22M,107.41,1.16,-0.85%,226847,-0.85,107.41,34220000.0,0.006629076369693852,0
257,AHR,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,9.14B,117.90,48.09,1.20%,1911677,1.2,117.9,9140000000.0,0.00020915503279987362,0
258,AHRT,AH Realty Trust Inc,Real Estate,REIT - Diversified,USA,454.78M,-,5.67,5.00%,1855178,5.0,19.07,454780000.0,0.004079286679099154,0
259,AHT,Ashford Hospitality Trust Inc,Real Estate,REIT - Hotel & Motel,USA,16.77M,-,2.59,-3.00%,19450,-3.0,19.07,16770000.0,0.0011598091139052406,0
260,AHYB,American Century Select High Yield ETF,Financial,Exchange Traded Fund,USA,-,-,46.21,0.08%,19347,0.08,19.07,,,0
261,AI,C3.ai Inc,Technology,Software - Infrastructure,USA,1.26B,-,8.64,2.01%,3739057,2.01,19.07,1260000000.0,0.0029675055532003922,0
262,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,105.62,-1.66%,140159,-1.66,19.07,,,0
263,AIB,BlockchAIn Digital Infrastructure Inc,Technology,Software - Infrastructure,USA,114.96M,-,1.16,16.00%,561009,16.0,19.07,114960000.0,0.004880036491996899,0
264,AIBD,Direxion Daily AI and Big Data Bear 2X ETF,Financial,Exchange Traded Fund,USA,-,-,9.52,-1.46%,34552,-1.46,19.07,,,0
