No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
319,AKO-A,Embotelladora Andina S.A. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.97B,14.35,25.0,12.71%,2247,12.71,14.35,1970000000.0,1.1406091364768482e-06,0
320,AKO-B,Embotelladora Andina S.A. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Chile,2.02B,13.38,25.64,-1.63%,6275,-1.63,13.38,2020000000.0,3.106435642026517e-06,0
321,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,2.59B,206.38,19.42,0.88%,1367588,0.88,206.38,2590000000.0,0.0005280262546223836,0
322,AKRE,Akre Focus ETF,Financial,Exchange Traded Fund,USA,-,-,52.92,0.42%,508748,0.42,19.07,,,0
323,AKTS,Aktis Oncology Inc,Healthcare,Biotechnology,USA,927.56M,-,17.37,1.76%,380427,1.76,19.07,927560000.0,0.00041013734916324837,0
324,AKTX,Akari Therapeutics Plc ADR,Healthcare,Biotechnology,USA,202.36M,-,4.47,-3.87%,5577,-3.87,19.07,202360000.0,2.755979428958394e-05,0
325,AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,7.28B,6.98,64.95,0.00%,3049147,0.0,6.98,7280000000.0,0.0004188388735688408,0
326,ALAB,Astera Labs Inc,Technology,Semiconductors,USA,19.94B,96.10,117.14,10.17%,4481088,10.17,96.1,19940000000.0,0.00022472858574600158,0
327,ALAI,Alger AI Enablers & Adopters ETF,Financial,Exchange Traded Fund,USA,-,-,33.7,0.27%,178871,0.27,19.07,,,0
328,ALAR,Alarum Technologies Ltd ADR,Technology,Software - Infrastructure,Israel,45.38M,47.28,6.25,3.14%,17167,3.14,47.28,45380000.0,0.00037829439448447785,0
329,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,20.99B,-,178.09,-0.21%,1145781,-0.21,19.07,20990000000.0,5.458699380397394e-05,0
330,ALBG,Leverage Shares 2X Long ALB Daily ETF,Financial,Exchange Traded Fund,USA,-,-,14.83,-0.17%,2037,-0.17,19.07,,,0
331,ALBT,Avalon GloboCare Corp,Real Estate,Real Estate Services,USA,4.65M,-,0.58,9.06%,255842,9.06,19.07,4650000.0,0.05501977311402729,0
332,ALC,Alcon Inc,Healthcare,Medical Instruments & Supplies,Switzerland,36.34B,37.75,74.56,-1.26%,1279801,-1.26,37.75,36340000000.0,3.5217418821265346e-05,0
333,ALCO,Alico Inc,Consumer Defensive,Farm Products,USA,322.80M,-,42.16,2.31%,38284,2.31,19.07,322800000.0,0.00011859975180111601,0
334,ALCY,Alchemy Investments Acquisition Corp 1,Financial,Shell Companies,USA,49.99M,-,11.88,0.17%,754,0.17,19.07,49990000.0,1.5083016301599994e-05,0
335,ALDF,Aldel Financial II Inc,Financial,Shell Companies,USA,315.71M,40.31,10.56,0.00%,0,0.0,40.31,315710000.0,0.0,0
336,ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,USA,99.90M,-,1.66,-1.19%,1805456,-1.19,19.07,99900000.0,0.018072632451725402,0
337,ALEC,Alector Inc,Healthcare,Biotechnology,USA,265.97M,-,2.41,-4.74%,1316688,-4.74,19.07,265970000.00000003,0.0049505131971631635,0
338,ALF,Centurion Acquisition Corp,Financial,Shell Companies,USA,388.15M,33.06,10.8,0.37%,3215,0.37,33.06,388150000.0,8.28288030843004e-06,0
339,ALG,Alamo Group Inc,Industrials,Farm & Heavy Construction Machinery,USA,2.04B,19.57,168.2,-1.06%,136790,-1.06,19.57,2040000000.0,6.705392153575788e-05,0
340,ALGM,Allegro Microsystems Inc,Technology,Semiconductors,USA,6.04B,-,32.6,-2.10%,1312879,-2.1,19.07,6040000000.0,0.0002173640728116947,0
341,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,12.16B,30.15,170.6,-1.23%,1081303,-1.23,30.15,12160000000.0,8.892294407163463e-05,0
342,ALGS,Aligos Therapeutics Inc,Healthcare,Biotechnology,USA,49.32M,-,7.97,2.97%,39566,2.97,19.07,49320000.0,0.0008022303162564819,0
343,ALGT,Allegiant Travel,Industrials,Airlines,USA,1.53B,-,82.83,-0.34%,433280,-0.34,19.07,1530000000.0,0.00028318954229856894,0
344,ALH,Alliance Laundry Holdings Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,4.23B,-,21.36,-0.47%,1249935,-0.47,19.07,4230000000.0000005,0.0002954929077315619,0
345,ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans,USA,3.83B,-,18.76,5.10%,2728173,5.1,19.07,3830000000.0,0.0007123167099967842,0
346,ALIL,Argent Focused Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,28.07,0.05%,383,0.05,19.07,,,0
347,ALIS,Calisa Acquisition Corp,Financial,Shell Companies,USA,84.36M,-,10.03,0.10%,13,0.1,19.07,84360000.0,1.5410146806423105e-07,0
348,ALIT,Alight Inc,Technology,Software - Application,USA,294.40M,-,0.55,-4.64%,18714166,-4.64,19.07,294400000.0,0.06356713972973119,0
349,ALK,Alaska Air Group Inc,Industrials,Airlines,USA,4.28B,42.64,37.33,-0.85%,4077491,-0.85,42.64,4280000000.0000005,0.0009526848128615221,0
350,ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,5.81B,24.32,34.84,-0.60%,2485560,-0.6,24.32,5810000000.0,0.00042780722884202974,0
351,ALKT,Alkami Technology Inc,Technology,Software - Application,USA,1.76B,-,16.56,3.44%,1237420,3.44,19.07,1760000000.0,0.0007030795450550685,0
352,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,53.73B,5.42,207.03,1.44%,1382881,1.44,5.42,53730000000.0,2.5737595383850035e-05,0
353,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,12.15B,18.96,141.06,-2.15%,816621,-2.15,18.96,12150000000.0,6.721160493273978e-05,0
354,ALLO,Allogene Therapeutics Inc,Healthcare,Biotechnology,USA,604.57M,-,2.48,-3.12%,4299094,-3.12,19.07,604570000.0,0.007110994579434979,0
355,ALLR,Allarity Therapeutics Inc,Healthcare,Biotechnology,USA,18.35M,-,1.16,2.65%,55115,2.65,19.07,18350000.0,0.0030035420706516582,0
356,ALLT,Allot Ltd,Technology,Software - Infrastructure,Israel,344.50M,97.40,7.11,2.75%,338031,2.75,97.4,344500000.0,0.0009812220581096602,0
357,ALLW,State Street Bridgewater All Weather ETF,Financial,Exchange Traded Fund,USA,-,-,29.1,0.45%,421475,0.45,19.07,,,0
358,ALLY,Ally Financial Inc,Financial,Credit Services,USA,12.27B,16.92,39.84,0.18%,2310746,0.18,16.92,12270000000.0,0.00018832485736036472,0
359,ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining,Canada,4.31B,-,15.36,2.26%,3804901,2.26,19.07,4310000000.0,0.0008828076564077012,0
360,ALMS,Alumis Inc,Healthcare,Biotechnology,USA,2.97B,-,23.37,2.82%,1412309,2.82,19.07,2970000000.0,0.0004755249156648064,0
361,ALMU,Aeluma Inc,Technology,Semiconductors,USA,241.96M,-,13.44,4.59%,193617,4.59,19.07,241960000.0,0.0008002025095048664,0
362,ALNT,Allient Inc,Technology,Electronic Components,USA,1.03B,46.01,60.54,-2.07%,160662,-2.07,46.01,1030000000.0,0.00015598252412040532,0
363,ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA,42.29B,141.27,318.85,-3.01%,872456,-3.01,141.27,42290000000.0,2.063031449466469e-05,0
364,ALOT,AstroNova Inc,Technology,Computer Hardware,USA,69.59M,-,9.11,0.66%,160817,0.66,19.07,69590000.0,0.002310921076147132,0
365,ALOV,Aldabra 4 Liquidity Opportunity Vehicle Inc,Financial,Shell Companies,USA,369.20M,-,9.84,-0.51%,34124,-0.51,19.07,369200000.0,9.242686865539852e-05,0
366,ALOY,REalloys Inc,Basic Materials,Other Industrial Metals & Mining,USA,549.84M,-,9.19,0.88%,1132727,0.88,19.07,549840000.0,0.002060102935290079,0
367,ALPS,ALPS Group Inc,Healthcare,Biotechnology,Malaysia,168.06M,-,1.01,0.00%,7940,0.0,19.07,168060000.0,4.724503125523604e-05,0
368,ALRG,Allspring LT Large Core ETF,Financial,Exchange Traded Fund,USA,-,-,26.71,0.00%,0,0.0,19.07,,,0
369,ALRM,Alarm.com Holdings Inc,Technology,Software - Application,USA,2.17B,17.73,43.67,0.85%,267331,0.85,17.73,2170000000.0,0.00012319400915981844,0
370,ALRS,Alerus Financial Corp,Financial,Banks - Regional,USA,605.56M,35.88,23.84,0.97%,144781,0.97,35.88,605560000.0,0.0002390861347528137,0
371,ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts,USA,9.69B,15.95,117.06,-1.50%,355307,-1.5,15.95,9690000000.0,3.666738905710347e-05,0
372,ALT,Altimmune Inc,Healthcare,Biotechnology,USA,434.43M,-,3.34,7.05%,2727750,7.05,19.07,434430000.0,0.00627891718739747,0
373,ALTG,Alta Equipment Group Inc,Industrials,Rental & Leasing Services,USA,169.08M,-,5.24,-0.19%,303077,-0.19,19.07,169080000.0,0.001792506495194544,0
374,ALTI,AlTi Global Inc,Financial,Asset Management,USA,560.22M,-,3.82,4.66%,102145,4.66,19.07,560220000.0,0.00018233015568467717,0
375,ALTL,Pacer Lunt Large Cap Alternator ETF,Financial,Exchange Traded Fund,USA,-,-,44.36,0.75%,4002,0.75,19.07,,,0
376,ALTO,Alto Ingredients Inc,Basic Materials,Specialty Chemicals,USA,360.96M,30.62,4.67,-2.51%,1414263,-2.51,30.62,360960000.0,0.003918060162017786,0
377,ALTS,ALT5 Sigma Corp,Technology,Software - Application,USA,144.03M,-,1.14,3.64%,4155737,3.64,19.07,144030000.0,0.02885327342322243,0
378,ALTY,Global X Alternative Income ETF,Financial,Exchange Traded Fund,USA,-,-,12.1,0.42%,8149,0.42,19.07,,,0
379,ALUB,Alussa Energy Acquisition Corp. II,Financial,Shell Companies,USA,358.84M,-,9.98,0.00%,18,0.0,19.07,358840000.0,5.016163178530367e-08,0
380,ALUB-U,Alussa Energy Acquisition Corp. II,Financial,Shell Companies,USA,358.84M,-,10.13,0.00%,0,0.0,19.07,358840000.0,0.0,0
381,ALV,Autoliv Inc,Consumer Cyclical,Auto Parts,Sweden,7.87B,11.00,105.29,-1.69%,477798,-1.69,11.0,7870000000.0,6.071130875975714e-05,0
382,ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,Luxembourg,1.21B,37.86,3.65,0.83%,246832,0.83,37.86,1210000000.0,0.0002039933882611625,0
383,ALX,Alexander's Inc,Real Estate,REIT - Retail,USA,1.18B,41.97,230.72,1.33%,50466,1.33,41.97,1180000000.0,4.2767796573925594e-05,0
384,ALXO,Alx Oncology Holdings Inc,Healthcare,Biotechnology,USA,259.27M,-,1.97,-0.51%,415021,-0.51,19.07,259269999.99999997,0.0016007289636258382,0
385,ALZN,Alzamend Neuro Inc,Healthcare,Biotechnology,USA,3.80M,-,1.0,-1.97%,93629,-1.97,19.07,3800000.0,0.024639204042314726,0
386,AM,Antero Midstream Corp,Energy,Oil & Gas Midstream,USA,10.76B,26.61,22.75,0.89%,1526728,0.89,26.61,10760000000.0,0.0001418892193176683,0
387,AMAL,Amalgamated Financial Corp,Financial,Banks - Regional,USA,1.18B,11.53,39.4,0.82%,114180,0.82,11.53,1180000000.0,9.676271178240448e-05,0
388,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,276.55B,35.69,348.47,-1.51%,4253830,-1.51,35.69,276550000000.0,1.538177544742223e-05,0
389,AMAX,RH Hedged Multi-Asset Income ETF,Financial,Exchange Traded Fund,USA,-,-,7.76,0.32%,44911,0.32,19.07,,,0
390,AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA,2.21B,-,50.54,-1.06%,667932,-1.06,19.07,2210000000.0,0.00030223167407138836,0
391,AMBO,Ambow Education Holding Ltd ADR,Consumer Defensive,Education & Training Services,USA,6.24M,-,2.38,9.68%,19786,9.68,19.07,6240000.0,0.0031708328251870473,0
392,AMBP,Ardagh Metal Packaging S.A,Consumer Cyclical,Packaging & Containers,Luxembourg,2.44B,-,4.09,-0.49%,890538,-0.49,19.07,2440000000.0,0.00036497459001435465,0
393,AMBQ,Ambiq Micro Inc,Technology,Semiconductors,USA,606.62M,-,28.53,5.94%,339965,5.94,19.07,606620000.0,0.0005604249768216923,0
394,AMBR,Amber International Holding Ltd. ADR,Technology,Software - Infrastructure,Singapore,216.10M,-,2.5,0.40%,18485,0.4,19.07,216100000.0,8.553910187163765e-05,0
395,AMC,AMC Entertainment Holdings Inc,Communication Services,Entertainment,USA,624.91M,-,1.12,8.74%,40939094,8.74,19.07,624910000.0,0.06551198402087983,0
396,AMCI,AMC Robotics Corp,Technology,Computer Hardware,USA,135.12M,-,5.98,-1.16%,27756,-1.16,19.07,135120000.0,0.00020541740522929687,0
397,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,18.45B,26.11,39.93,-1.89%,3887408,-1.89,26.11,18450000000.0,0.00021069962058478594,0
398,AMCX,AMC Networks Inc,Communication Services,Entertainment,USA,306.26M,5.24,7.17,2.43%,331388,2.43,5.24,306260000.0,0.001082047929595612,0
399,AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,354.61B,82.24,217.5,3.47%,38260180,3.47,82.24,354610000000.0,0.00010789368602095854,0
400,AMDD,Direxion Daily AMD Bear 1X ETF,Financial,Exchange Traded Fund,USA,-,-,8.37,-3.32%,12252845,-3.32,19.07,,,0
401,AMDG,Leverage Shares 2X Long AMD Daily ETF,Financial,Exchange Traded Fund,USA,-,-,23.53,6.59%,58366,6.59,19.07,,,0
402,AMDL,GraniteShares 2x Long AMD Daily ETF,Financial,Exchange Traded Fund,USA,-,-,13.93,6.83%,11213732,6.83,19.07,,,0
403,AMDW,Roundhill AMD WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,44.0,3.81%,28606,3.81,19.07,,,0
404,AMDY,Yieldmax AMD Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,32.37,1.16%,52459,1.16,19.07,,,0
405,AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,49.98B,34.10,218.29,-0.16%,776333,-0.16,34.1,49980000000.0,1.5532873148948922e-05,0
406,AMG,Affiliated Managers Group Inc,Financial,Asset Management,USA,7.09B,11.59,265.51,-2.92%,393807,-2.92,11.59,7090000000.0,5.554400563391481e-05,0
407,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,187.56B,24.45,347.94,-1.51%,1603555,-1.51,24.45,187560000000.0,8.549557474895769e-06,0
408,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,10.58B,24.64,29.08,3.23%,2953436,3.23,24.64,10580000000.0,0.000279152740994409,0
409,AMID,Argent Mid Cap ETF,Financial,Exchange Traded Fund,USA,-,-,32.51,0.27%,2310,0.27,19.07,,,0
410,AMIX,Autonomix Medical Inc,Healthcare,Medical Devices,USA,4.50M,-,0.39,-1.99%,76669,-1.99,19.07,4500000.0,0.01703755176943294,0
411,AMJB,Alerian MLP Index ETNs,Financial,Exchange Traded Fund,USA,-,-,34.26,0.56%,31335,0.56,19.07,,,0
412,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,11.55B,31.04,46.7,0.45%,1772948,0.45,31.04,11550000000.0,0.00015350199132870113,0
413,AMLP,Alerian MLP ETF,Financial,Exchange Traded Fund,USA,-,-,52.37,0.54%,1450296,0.54,19.07,,,0
414,AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.65B,-,14.95,4.18%,1283971,4.18,19.07,1650000000.0,0.0007781642419526278,0
415,AMN,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,USA,703.27M,-,18.2,-1.94%,951841,-1.94,19.07,703270000.0,0.0013534503087669738,0
416,AMOD,Alpha Modus Holdings Inc,Technology,Software - Application,USA,17.28M,-,0.34,-8.04%,675028,-8.04,19.07,17280000.0,0.039064118109715384,0
417,AMOM,QRAFT AI Enhanced U.S. Large Cap Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,48.13,-0.09%,15273,-0.09,19.07,,,0
418,AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,39.57B,11.94,433.94,-0.63%,619888,-0.63,11.94,39570000000.0,1.566560525611156e-05,0
419,AMPG,Amplitech Group Inc,Technology,Communication Equipment,USA,48.89M,-,1.93,1.58%,218749,1.58,19.07,48890000.0,0.004474309583262229,0
420,AMPH,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,927.82M,10.06,20.45,1.04%,390454,1.04,10.06,927820000.0,0.00042082947078007644,0
421,AMPL,Amplitude Inc,Technology,Software - Application,USA,914.69M,-,6.84,0.74%,1048837,0.74,19.07,914690000.0,0.0011466584294715604,0
422,AMPX,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts,USA,2.19B,-,16.0,3.09%,5905937,3.09,19.07,2190000000.0,0.0026967748846133447,0
423,AMPY,Amplify Energy Corp,Energy,Oil & Gas E&P,USA,246.77M,5.92,5.98,1.87%,1002537,1.87,5.92,246770000.0,0.00406263725711133,0
424,AMR,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,USA,2.68B,-,209.31,5.54%,206325,5.54,19.07,2680000000.0,7.698694026978099e-05,0
425,AMRC,Ameresco Inc,Industrials,Engineering & Construction,USA,1.30B,29.81,24.59,-0.32%,755001,-0.32,29.81,1300000000.0,0.0005807699995532538,0
426,AMRN,Amarin Corp ADR,Healthcare,Drug Manufacturers - General,Ireland,306.74M,-,14.74,0.68%,13168,0.68,19.07,306740000.0,4.292886469671753e-05,0
427,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,3.93B,56.37,12.48,-1.81%,1351066,-1.81,56.37,3930000000.0,0.0003437826971135413,0
428,AMRZ,Amrize Ltd,Basic Materials,Building Materials,USA,29.97B,25.31,54.23,-1.72%,2629875,-1.72,25.31,29970000000.0,8.775025024732231e-05,0
429,AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,8.91M,-,1.35,0.00%,13319,0.0,19.07,8910000.0,0.0014948370937332106,0
430,AMSC,American Superconductor Corp,Industrials,Specialty Industrial Machinery,USA,1.53B,10.95,32.09,-1.72%,630302,-1.72,10.95,1530000000.0,0.0004119620912340117,0
431,AMSF,Amerisafe Inc,Financial,Insurance - Specialty,USA,619.67M,13.34,32.97,1.23%,237992,1.23,13.34,619670000.0,0.0003840624842511942,0
432,AMST,Amesite Inc,Technology,Software - Application,USA,8.09M,-,1.77,0.00%,4749,0.0,19.07,8090000.0,0.0005870209410357304,0
433,AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,80.97B,32.19,173.73,1.58%,4223585,1.58,32.19,80970000000.0,5.216234407740938e-05,0
434,AMTB,Amerant Bancorp Inc,Financial,Banks - Regional,USA,916.06M,18.18,22.77,0.84%,173551,0.84,18.18,916060000.0,0.00018945374736430612,0
435,AMTD,AMTD IDEA Group ADR,Financial,Asset Management,France,39.65M,1.33,0.98,-0.99%,10632,-0.99,1.33,39650000.0,0.000268146273186727,0
436,AMTM,Amentum Holdings Inc,Industrials,Specialty Business Services,USA,6.60B,67.16,27.04,2.66%,1392621,2.66,67.16,6600000000.0,0.00021100318178621165,0
437,AMTX,Aemetis Inc,Basic Materials,Specialty Chemicals,USA,210.56M,-,3.16,6.04%,2099850,6.04,19.07,210560000.0,0.009972691821938204,0
438,AMUB,UBS ETRACS Alerian MLP Index ETN,Financial,Exchange Traded Fund,USA,-,-,21.64,0.71%,442,0.71,19.07,,,0
439,AMUN,abrdn Ultra Short Municipal Income Active ETF,Financial,Exchange Traded Fund,USA,-,-,26.03,0.06%,186,0.06,19.07,,,0
440,AMUU,Direxion Daily AMD Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,48.51,6.71%,101633,6.71,19.07,,,0
441,AMWD,American Woodmark Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,557.58M,32.93,38.27,-3.11%,132887,-3.11,32.93,557580000.0,0.00023832813185851692,0
442,AMWL,American Well Corporation,Healthcare,Health Information Services,USA,91.03M,-,5.5,3.97%,22193,3.97,19.07,91030000.0,0.00024379874498738058,0
443,AMX,America Movil S.A.B.DE C.V. ADR,Communication Services,Telecom Services,Mexico,78.29B,17.85,25.58,0.20%,863575,0.2,17.85,78290000000.0,1.1030463660607607e-05,0
444,AMYY,GraniteShares YieldBOOST AMD ETF,Financial,Exchange Traded Fund,USA,-,-,15.52,-0.89%,9715,-0.89,19.07,,,0
445,AMZA,InfraCap MLP ETF 1.25x Shares,Financial,Exchange Traded Fund,USA,-,-,45.67,2.10%,38345,2.1,19.07,,,0
446,AMZD,Direxion Daily AMZN Bear 1X ETF,Financial,Exchange Traded Fund,USA,-,-,10.94,0.55%,12913750,0.55,19.07,,,0
447,AMZE,Amaze Holdings Inc,Technology,Software - Application,USA,4.69M,-,0.13,-6.13%,1743744,-6.13,19.07,4690000.0,0.3718003471641051,0
448,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2251.86B,29.25,209.77,-0.38%,31255136,-0.38,29.25,2251860000000.0,1.3879697672140417e-05,0
449,AMZO,Tradr 2X Short AMZN Daily ETF,Financial,Exchange Traded Fund,USA,-,-,24.82,0.87%,3085,0.87,19.07,,,0
450,AMZP,Kurv Yield Premium Strategy Amazon (AMZN) ETF,Financial,Exchange Traded Fund,USA,-,-,23.42,-0.47%,4045,-0.47,19.07,,,0
451,AMZU,Direxion Daily AMZN Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,27.2,-0.87%,2008184,-0.87,19.07,,,0
452,AMZW,Roundhill AMZN WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,34.13,0.12%,19251,0.12,19.07,,,0
453,AMZY,YieldMax AMZN Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,11.0,-0.45%,274738,-0.45,19.07,,,0
454,AMZZ,GraniteShares 2x Long AMZN Daily ETF,Financial,Exchange Traded Fund,USA,-,-,24.88,-0.79%,102048,-0.79,19.07,,,0
455,AN,Autonation Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,6.86B,11.59,197.68,-0.15%,312217,-0.15,11.59,6860000000.0,4.551268220910894e-05,0
456,ANAB,AnaptysBio Inc,Healthcare,Biotechnology,USA,1.66B,-,57.68,1.67%,611617,1.67,19.07,1660000000.0,0.00036844397568166023,0
457,ANDE,Andersons Inc,Consumer Defensive,Food Distribution,USA,2.50B,26.25,73.41,0.99%,252618,0.99,26.25,2500000000.0,0.00010104719995958112,0
458,ANDG,Andersen Group Inc,Consumer Cyclical,Personal Services,USA,3.31B,5.92,29.67,1.61%,197762,1.61,5.92,3310000000.0,5.9746827776511534e-05,0
459,ANEL,Defiance Daily Target 2x Long ANET ETF,Financial,Exchange Traded Fund,USA,-,-,13.5,2.93%,31239,2.93,19.07,,,0
460,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,159.18B,46.01,126.68,1.47%,5120014,1.47,46.01,159180000000.0,3.2164932780297995e-05,0
461,ANEW,ProShares MSCI Transformational Changes ETF,Financial,Exchange Traded Fund,USA,-,-,45.67,0.01%,13,0.01,19.07,,,0
462,ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail,USA,4.14B,8.76,92.25,-2.13%,816319,-2.13,8.76,4139999999.9999995,0.0001971785023678313,0
463,ANGH,Anghami Inc,Communication Services,Entertainment,United Arab Emirates,31.09M,-,3.43,2.69%,925,2.69,19.07,31090000.0,2.9752330982556096e-05,0
464,ANGI,Angi Inc,Communication Services,Internet Content & Information,USA,274.72M,7.34,6.85,-0.58%,660626,-0.58,7.34,274720000.0,0.0024047248019629995,0
465,ANGL,VanEck Fallen Angel High Yield Bond ETF,Financial,Exchange Traded Fund,USA,-,-,28.81,0.28%,2727366,0.28,19.07,,,0
466,ANGO,Angiodynamic Inc,Healthcare,Medical Instruments & Supplies,USA,424.95M,-,10.31,-13.65%,1224028,-13.65,19.07,424950000.0,0.0028804047467221915,0
467,ANGX,Angel Studios Inc,Communication Services,Entertainment,USA,506.83M,-,2.99,-0.33%,623552,-0.33,19.07,506830000.0,0.0012302981251498567,0
468,ANIK,Anika Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,198.33M,-,14.8,-1.20%,98847,-1.2,19.07,198330000.0,0.0004983966091947935,0
469,ANIP,ANI Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.66B,22.14,74.21,-2.30%,275750,-2.3,22.14,1660000000.0,0.00016611445773125636,0
470,ANIX,Anixa Biosciences Inc,Healthcare,Biotechnology,USA,85.50M,-,2.55,-6.25%,69390,-6.25,19.07,85500000.0,0.0008115789378762698,0
471,ANL,Adlai Nortye Ltd. ADR,Healthcare,Biotechnology,China,255.54M,-,8.18,3.54%,453411,3.54,19.07,255540000.0,0.001774324951967109,0
472,ANNA,AleAnna Inc,Energy,Oil & Gas E&P,USA,525.90M,178.51,7.89,8.68%,7347336,8.68,178.51,525900000.0,0.01397097544405595,0
473,ANNX,Annexon Inc,Healthcare,Biotechnology,USA,882.61M,-,5.5,2.61%,3329638,2.61,19.07,882610000.0,0.0037724906767740104,0
474,ANPA,Rich Sparkle Holdings Ltd,Industrials,Specialty Business Services,Hong Kong,111.87M,6884.62,8.95,-4.48%,11446,-4.48,6884.62,111870000.0,0.00010231518635634946,1
475,ANRO,Alto Neuroscience Inc,Healthcare,Biotechnology,USA,692.58M,-,21.68,-7.39%,691110,-7.39,19.07,692580000.0,0.0009978775000752584,0
476,ANSC,Agriculture & Natural Solutions Acquisition Corp,Financial,Shell Companies,USA,468.86M,46.29,11.29,0.00%,204,0.0,46.29,468860000.0,4.3509789609883997e-07,0
477,ANTA,Antalpha Platform Holding Co,Financial,Credit Services,Singapore,166.22M,9.41,7.02,8.00%,3203,8.0,9.41,166220000.0,1.926964252635277e-05,0
478,ANTX,AN2 Therapeutics Inc,Healthcare,Biotechnology,USA,117.53M,-,3.27,-5.22%,412054,-5.22,19.07,117530000.0,0.0035059473878503583,0
479,ANV,GraniteShares Autocallable NVDA ETF,Financial,Exchange Traded Fund,USA,-,-,24.57,-0.04%,692,-0.04,19.07,,,0
480,ANVS,Annovis Bio Inc,Healthcare,Biotechnology,USA,64.65M,-,2.28,7.55%,962605,7.55,19.07,64650000.00000001,0.014889481594903609,0
481,ANY,Sphere 3D Corp,Financial,Capital Markets,USA,5.73M,-,1.52,0.66%,33405,0.66,19.07,5730000.0,0.005829841914512755,0
482,AOA,iShares Core 80/20 Aggressive Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,88.63,-0.45%,137618,-0.45,19.07,,,0
483,AOCT,Innovator Equity Defined Protection ETF - 2 Yr to October 2026,Financial,Exchange Traded Fund,USA,-,-,26.53,0.03%,503,0.03,19.07,,,0
484,AOD,abrdn Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,986.83M,5.96,9.36,-1.06%,393355,-1.06,5.96,986830000.0,0.0003986046224794497,0
485,AOHY,Angel Oak High Yield Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,10.98,0.00%,58613,0.0,19.07,,,0
486,AOK,iShares Core 30/70 Conservative Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,39.9,-0.27%,175846,-0.27,19.07,,,0
487,AOM,iShares Core 40/60 Moderate Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,47.26,-0.59%,224501,-0.59,19.07,,,0
