No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,MarketCap_Num,PE_Num,Change_Num,Volume_Num,Cap_Category,Is_Gainer,Is_Loser,Abs_Change,Log_Volume,Log_MarketCap,Price_Band,Change_ZScore
590,ARKQ,ARK Autonomous Technology & Robotics ETF,Financial,Exchange Traded Fund,USA,-,-,114.9,0.34%,"178,601",,,0.34,178601,Unknown,True,False,0.34,12.092915145570123,,High,0.0033259271875863425
591,ARKR,Ark Restaurants Corp,Consumer Cyclical,Restaurants,USA,23.80M,-,6.6,-3.23%,"1,777",23800000.0,,-3.23,1777,Micro Cap,False,True,3.23,7.48324441607385,16.98519618065851,Very Low,-0.887638798256212
592,ARKT,ARK DIET Q4 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,17.78,-0.08%,890,,,-0.08,890,Unknown,False,True,0.08,6.792344427470809,,Very Low,-0.10149345227638992
593,ARKW,ARK Next Generation Internet ETF,Financial,Exchange Traded Fund,USA,-,-,121.6,0.26%,"124,122",,,0.26,124122,Unknown,True,False,0.26,11.729028288428134,,High,-0.01663966890079009
594,ARKX,ARK Space & Defense Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,30.32,1.37%,"710,247",,,1.37,710247,Unknown,True,False,1.37,13.473369483802578,,Low,0.2603829768254329
595,ARL,American Realty Investors Inc,Real Estate,Real Estate Services,USA,237.76M,15.14,14.72,-3.22%,628,237760000.0,15.14,-3.22,628,Micro Cap,False,True,3.22,6.444131256700441,19.28677232369959,Very Low,-0.885143098745165
596,ARLI,AllianzIM International Equity Buffer15 Uncapped Apr ETF,Financial,Exchange Traded Fund,USA,-,-,25.02,-0.44%,"5,916",,,-0.44,5916,Unknown,False,True,0.44,8.685584842676693,,Low,-0.19133863467408385
597,ARLO,Arlo Technologies Inc,Industrials,Building Products & Equipment,USA,1.50B,103.39,14.03,-0.57%,"584,368",1500000000.0,103.39,-0.57,584368,Small Cap,False,True,0.57,13.278287911592699,21.12873094572124,Very Low,-0.22378272831769555
598,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3.62B,11.74,28.17,2.18%,"194,670",3620000000.0,11.74,2.18,194670,Mid Cap,True,False,2.18,12.17906623316847,22.009739863060332,Low,0.4625346372202443
599,ARLU,AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF,Financial,Exchange Traded Fund,USA,-,-,28.86,0.11%,"17,534",,,0.11,17534,Unknown,True,False,0.11,9.771954162574279,,Low,-0.0540751615664959
600,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,158.35B,198.68,149.11,-3.84%,"8,141,912",158350000000.0,198.68,-3.84,8141912,Large Cap,False,True,3.84,15.912535722652674,25.788073609937374,High,-1.039876468430082
601,ARMG,Leverage Shares 2X Long ARM Daily ETF,Financial,Exchange Traded Fund,USA,-,-,9.4,-7.84%,"685,529",,,-7.84,685529,Unknown,False,True,7.84,13.437947540703053,,Very Low,-2.0381562728489038
602,ARMH,Arm Holdings PLC ADRhedged,Financial,Exchange Traded Fund,USA,-,-,63.86,-3.05%,"1,088",,,-3.05,1088,Unknown,False,True,3.05,6.9930151229329605,,Mid,-0.8427162070573648
603,ARMK,Aramark,Industrials,Specialty Business Services,USA,11.18B,35.78,42.55,1.60%,"2,616,592",11180000000.0,35.78,1.6,2616592,Large Cap,True,False,1.6,14.77738364782794,23.13739230476281,Low,0.3177840655795151
604,ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,USA,372.92M,-,10.18,-3.60%,"22,946",372920000.0,,-3.6,22946,Small Cap,False,True,3.6,10.040942487989975,19.736874480074306,Very Low,-0.979979680164953
605,ARMW,Roundhill ARM WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,33.63,-4.54%,"31,965",,,-4.54,31965,Unknown,False,True,4.54,10.3724281169286,,Low,-1.2145754342033759
606,ARMY,Tema International Defense Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,26.48,0.14%,57,,,0.14,57,Unknown,True,False,0.14,4.060443010546419,,Low,-0.046588063033354735
607,AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,USA,6.06B,18.96,34.66,1.55%,"1,284,669",6060000000.0,18.96,1.55,1284669,Mid Cap,True,False,1.55,14.066012433991771,22.52497563719265,Low,0.3053055680242798
608,AROW,Arrow Financial Corp,Financial,Banks - Regional,USA,563.54M,12.81,34.13,0.38%,"73,425",563540000.0,12.81,0.38,73425,Small Cap,True,False,0.38,11.204033375313541,20.149748875614996,Low,0.013308725231774553
609,ARP,PMV Adaptive Risk Parity ETF,Financial,Exchange Traded Fund,USA,-,-,31.74,-0.04%,"2,626",,,-0.04,2626,Unknown,False,True,0.04,7.87359778968554,,Low,-0.0915106542322017
610,ARQ,Arq Inc,Industrials,Pollution & Treatment Controls,USA,105.84M,-,2.47,4.66%,"1,017,081",105840000.0,,4.66,1017081,Micro Cap,True,False,4.66,13.832448301082199,18.4774390872192,Penny,1.0814681159599138
611,ARQQ,Arqit Quantum Inc,Technology,Software - Infrastructure,United Kingdom,218.66M,-,13.97,2.80%,"188,351",218660000.0,,2.8,188351,Micro Cap,True,False,2.8,12.146067831593145,19.20302857454392,Very Low,0.6172680069051616
612,ARQT,Arcutis Biotherapeutics Inc,Healthcare,Biotechnology,USA,2.93B,-,23.63,-1.95%,"1,091,843",2930000000.0,,-1.95,1091843,Mid Cap,False,True,1.95,13.903378567939077,21.798268260316686,Low,-0.568189260842189
613,ARR,ARMOUR Residential REIT Inc,Real Estate,REIT - Mortgage,USA,2.05B,6.26,17.14,1.54%,"2,091,031",2049999999.9999998,6.26,1.54,2091031,Mid Cap,True,False,1.54,14.553168281976118,21.441105630584534,Very Low,0.30280986851323277
614,ARRY,Array Technologies Inc,Technology,Solar,USA,1.12B,-,7.34,-2.78%,"3,715,010",1120000000.0,,-2.78,3715010,Small Cap,False,True,2.78,15.127892197098657,20.83659452314627,Very Low,-0.7753323202590945
615,ARTC,Art Technology Acquisition Corp,Financial,Shell Companies,USA,341.68M,-,9.81,-0.20%,3,341680000.0,,-0.2,3,Small Cap,False,True,0.2,1.3862943611198906,19.6493851874242,Very Low,-0.13144184640895457
616,ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,4.99M,-,7.04,-10.20%,"429,996",4990000.0,,-10.2,429996,Micro Cap,False,True,10.2,12.97153351090122,15.422946668128484,Very Low,-2.6271413574560083
617,ARTNA,Artesian Resources Corp,Utilities,Utilities - Regulated Water,USA,334.85M,14.55,32.19,-0.37%,"18,137",334850000.0,14.55,-0.37,18137,Small Cap,False,True,0.37,9.805764464007513,19.629193231306743,Low,-0.1738687380967545
618,ARTV,Artiva Biotherapeutics Inc,Healthcare,Biotechnology,USA,166.59M,-,6.74,-0.15%,"145,416",166590000.0,,-0.15,145416,Micro Cap,False,True,0.15,11.887360756091647,18.93104626788866,Very Low,-0.1189633488537193
619,ARTW,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,USA,10.73M,10.18,2.07,-1.43%,"6,973",10730000.0,10.18,-1.43,6973,Micro Cap,False,True,1.43,8.849944227235596,16.18855420780352,Penny,-0.43841288626774216
620,ARTY,iShares Future AI & Tech ETF,Financial,Exchange Traded Fund,USA,-,-,47.73,0.29%,"397,085",,,0.29,397085,Unknown,True,False,0.29,12.891908160894728,,Low,-0.009152570367648938
621,ARVN,Arvinas Inc,Healthcare,Biotechnology,USA,693.98M,-,10.85,-4.24%,"1,289,406",693980000.0,,-4.24,1289406,Small Cap,False,True,4.24,14.069692980725572,20.357953701052978,Very Low,-1.1397044488719643
622,ARVR,First Trust IndxxMetaverse ETF,Financial,Exchange Traded Fund,USA,-,-,44.91,-0.06%,9,,,-0.06,9,Unknown,False,True,0.06,2.302585092994046,,Low,-0.09650205325429581
623,ARW,Arrow Electronics Inc,Technology,Electronics & Computer Distribution,USA,7.45B,13.33,145.85,-0.53%,"369,651",7450000000.0,13.33,-0.53,369651,Mid Cap,False,True,0.53,12.820317301494077,22.731479869472107,High,-0.21379993027350735
